phrase,count
"('review', 'in')",121
"('pantop', 'tablet')",121
"('every', 'hours')",121
"('daily', 'tab')",121
"('of', 'moisturizer')",116
"('vit', 'd')",114
"('right', 'shoulder')",113
"('mins', 'before')",112
"('zerodolsp', 'tablet')",109
"('face', 'daily')",108
"('breakfast', 'daily')",105
"('mar', 'pm')",103
"('days', 'cap')",103
"('after', 'days')",102
"('date', 'oct')",102
"('procedure', 'today')",101
"('back', 'pain')",100
"('s', 'vit')",100
"('weeks', 'zerodolsp')",99
"('pm', 'visit')",99
"('to', 'the')",98
"('a', 'week')",98
"('clinic', 'complaints')",98
"('vit', 'b')",97
"('dosage', 'frequency')",96
"('lotion', 'days')",96
"('for', 'days')",96
"('pm', 'diagnosis')",94
"('notes', 'id')",92
"('clinical', 'notes')",91
"('at', 'home')",91
"('left', 'shoulder')",90
"('date', 'sep')",87
"('cream', 'days')",87
"('patient', 'reviewed')",86
"('right', 'knee')",85
"('strengthening', 'ex')",85
"('left', 'knee')",83
"('investigations', 'notes')",83
"('for', 'the')",83
"('daily', 'twice')",82
"('tablet', 'pantop')",81
"('gel', 'days')",81
"('paid', 'today')",80
"('singh', 'male')",79
"('in', 'weeks')",79
"('daily', 'at')",79
"('the', 'scalp')",75
"('start', 'after')",74
"('bilateral', 'knee')",72
"('gupta', 'female')",72
"('follow', 'ups')",72
"('once', 'daily')",72
"('dec', 'pm')",71
"('av', 'gr')",71
"('hot', 'packs')",70
"('before', 'going')",70
"('going', 'out')",70
"('morning', 'and')",70
"('days', 'start')",70
"('on', 'pkg')",70
"('mar', 'am')",69
"('atleast', 'mins')",69
"('and', 'keep')",68
"('twice', 'daily')",68
"('daily', 'in')",68
"('when', 'at')",67
"('morning', 'after')",67
"('knee', 'pain')",66
"('impression', 'likely')",66
"('even', 'when')",66
"('the', 'past')",65
"('case', 'of')",65
"('joint', 'line')",64
"('face', 'over')",64
"('apply', 'even')",63
"('full', 'body')",63
"('hours', 'apply')",62
"('the', 'next')",62
"('tablet', 'volitra')",62
"('history', 'of')",62
"('jan', 'am')",62
"('since', 'the')",61
"('days', 'use')",61
"('the', 'mouth')",61
"('rom', 'full')",61
"('face', 'atleast')",60
"('rotator', 'cuff')",60
"('do', 'not')",59
"('nov', 'pm')",59
"('and', 'the')",58
"('and', 'at')",58
"('no', 'dues')",58
"('complaints', 'right')",57
"('impression', 'right')",57
"('shoulder', 'pain')",57
"('examination', 'right')",57
"('cap', 'after')",57
"('investigation', 'x')",56
"('feb', 'am')",56
"('s', 'calcium')",55
"('sep', 'am')",55
"('be', 'paid')",54
"('complaints', 'ho')",54
"('ray', 'right')",54
"('s', 'ferritin')",54
"('treatment', 'plan')",54
"('moisturizer', 'and')",54
"('lower', 'back')",54
"('paid', 'in')",53
"('sharma', 'female')",53
"('range', 'of')",53
"('dec', 'am')",53
"('needed', 'sos')",52
"('twice', 'a')",52
"('reapply', 'every')",52
"('for', 'mins')",52
"('complaints', 'left')",52
"('pain', 'and')",52
"('sunscreen', 'days')",52
"('i', 'have')",52
"('up', 'on')",52
"('present', 'on')",51
"('pain', 'over')",51
"('ex', 'review')",51
"('no', 'tenderness')",50
"('use', 'to')",50
"('b', 's')",50
"('d', 's')",50
"('has', 'been')",50
"('the', 'body')",50
"('chief', 'complaints')",49
"('co', 'pain')",49
"('st', 'session')",49
"('after', 'lunch')",49
"('singh', 'age')",49
"('instructions', 'tab')",49
"('patient', 'is')",49
"('been', 'explained')",49
"('oct', 'am')",49
"('clinical', 'note')",49
"('the', 'patient')",48
"('tenderness', 'rom')",48
"('etoshine', 'mr')",48
"('have', 'been')",48
"('mg', 'once')",48
"('impression', 'left')",47
"('mr', 'tablet')",47
"('cervical', 'spine')",47
"('tab', 'levocet')",47
"('of', 'motion')",47
"('sharma', 'male')",47
"('the', 'treated')",47
"('the', 'right')",47
"('day', 'weeks')",46
"('devi', 'female')",46
"('upper', 'lips')",46
"('discussion', 'pkg')",46
"('right', 'foot')",46
"('lunch', 'daily')",46
"('s', 'tsh')",46
"('ferritin', 's')",46
"('if', 'pain')",46
"('days', 'apply')",46
"('ray', 'left')",45
"('out', 'reapply')",45
"('examination', 'left')",45
"('mild', 'tenderness')",44
"('sharma', 'age')",44
"('rs', 'paid')",44
"('fbs', 'ppbs')",44
"('face', 'wash')",44
"('am', 'patient')",44
"('ls', 'spine')",44
"('kumar', 'male')",44
"('wash', 'days')",43
"('then', 'wash')",43
"('too', 'close')",43
"('close', 'to')",43
"('daily', 'investigations')",43
"('low', 'back')",43
"('weeks', 'etoshine')",43
"('alternate', 'nights')",43
"('around', 'the')",43
"('nov', 'am')",43
"('session', 'th')",43
"('neurobion', 'forte')",42
"('to', 'wash')",42
"('re', 'apply')",42
"('not', 'apply')",42
"('apply', 'too')",42
"('over', 'right')",42
"('prescription', 'medication')",42
"('medication', 'dosage')",42
"('medicines', 'advised')",42
"('followup', 'next')",42
"('keep', 'overnight')",42
"('mg', 'every')",42
"('wash', 'face')",41
"('on', 'alternate')",41
"('skin', 'tags')",41
"('the', 'procedure')",41
"('came', 'for')",41
"('th', 'id')",41
"('examination', 'tenderness')",40
"('rabton', 'dsr')",40
"('medicine', 'schedule')",40
"('oct', 'pm')",40
"('the', 'affected')",40
"('remaining', 'none')",40
"('note', 'visit')",39
"('ap', 'lateral')",39
"('the', 'eyes')",39
"('eyes', 'and')",39
"('post', 'op')",39
"('levocet', 'mg')",39
"('gentle', 'massage')",39
"('lnu', 'age')",39
"('physical', 'exam')",38
"('daily', 'months')",38
"('advised', 'medicine')",38
"('investigations', 'cbc')",38
"('of', 'present')",38
"('today', 'dues')",38
"('gupta', 'male')",38
"('tablet', 'as')",37
"('review', 'with')",37
"('pain', 'persists')",37
"('rom', 'ex')",37
"('strengthening', 'exercises')",37
"('present', 'illness')",37
"('pm', 'patient')",37
"('th', 'january')",37
"('location', 'ard')",36
"('ard', 'gcr')",36
"('mins', 'and')",36
"('cbc', 'fbs')",36
"('ppbs', 's')",36
"('tsh', 's')",36
"('calcium', 'smagnesium')",36
"('smagnesium', 'fasting')",36
"('fasting', 'isulin')",36
"('isulin', 'hbac')",36
"('nd', 'session')",36
"('deep', 'im')",36
"('with', 'gentle')",36
"('keep', 'for')",35
"('tab', 'in')",35
"('hair', 'investigations')",35
"('after', 'food')",35
"('mri', 'scan')",35
"('right', 'wrist')",35
"('daily', 'for')",35
"('pain', 'months')",34
"('today', 'st')",34
"('singh', 'female')",34
"('both', 'knees')",34
"('duration', 'notes')",34
"('able', 'to')",34
"('skin', 'tag')",34
"('right', 'ankle')",34
"('done', 'today')",34
"('lipid', 'profile')",34
"('vitamin', 'd')",33
"('pm', 'complaints')",33
"('line', 'tenderness')",33
"('clinical', 'impression')",33
"('night', 'over')",33
"('in', 'ratio')",33
"('then', 'apply')",33
"('left', 'foot')",33
"('daily', 'cap')",33
"('john', 'doe')",33
"('x', 'days')",32
"('k', 'once')",32
"('pain', 'examination')",32
"('in', 'week')",32
"('physical', 'therapy')",32
"('days', 'mix')",32
"('left', 'elbow')",32
"('next', 'session')",32
"('ld', 'bone')",31
"('bone', 'k')",31
"('painful', 'impression')",31
"('investigation', 'mri')",31
"('due', 'to')",31
"('if', 'symptoms')",31
"('with', 'bikini')",31
"('over', 'the')",31
"('treated', 'areas')",31
